Key;English;;;;;;;;;;;;;
return_core_on_title;'타국 영유권 보유 지역 반환' 결정 표시;;;;;;;;;;;;;
return_core_on_desc;'타국 영유권 보유 지역 반환' 결정은 종속국 또는 영향권에 속한 국가들에게 그들의 영유권 보유 지역을 반환합니다. 결정 목록을 흐트러뜨리는 것을 원하지 않는다면 숨길 수 있습니다.;;;;;;;;;;;;;
return_core_off_title;'타국 영유권 보유 지역 반환' 결정 숨기기';;;;;;;;;;;;;
return_core_off_desc;'타국 영유권 보유 지역 반환'을 결정 목록에서 숨깁니다!;;;;;;;;;;;;;
return_core_disabled_title;'타국 영유권 보유 지역 반환' 결정 제거;;;;;;;;;;;;;
return_core_disabled_desc;'타국 영유권 보유 지역 반환' 결정이 이번 게임에서 다시는 나타나지 않습니다.;;;;;;;;;;;;;
return_cores_MNP_title;마니푸르 영유권 보유 지역 반환;;;;;;;;;;;;;
return_cores_MNP_desc;우리나라가 소유한 마니푸르의 영유권 보유 지역을 선의로서 반환한다면 이들과의 관계가 진전할 것입니다.;;;;;;;;;;;;;
return_cores_BDK_title;바다흐샨 영유권 보유 지역 반환;;;;;;;;;;;;;
return_cores_BDK_desc;우리나라가 소유한 바다흐샨의 영유권 보유 지역을 선의로서 반환한다면 이들과의 관계가 진전할 것입니다.;;;;;;;;;;;;;
return_cores_PGG_title;평남 영유권 보유 지역 반환;;;;;;;;;;;;;
return_cores_PGG_desc;우리나라가 소유한 평남의 영유권 보유 지역을 선의로서 반환한다면 이들과의 관계가 진전할 것입니다.;;;;;;;;;;;;;
return_cores_SGM_title;지그마링겐 영유권 보유 지역 반환;;;;;;;;;;;;;
return_cores_SGM_desc;우리나라가 소유한 지그마링겐의 영유권 보유 지역을 선의로서 반환한다면 이들과의 관계가 진전할 것입니다.;;;;;;;;;;;;;
return_cores_NMB_title;나미비아 영유권 보유 지역 반환;;;;;;;;;;;;;
return_cores_NMB_desc;우리나라가 소유한 나미비아의 영유권 보유 지역을 선의로서 반환한다면 이들과의 관계가 진전할 것입니다.;;;;;;;;;;;;;
return_cores_TMR_title;티모르 영유권 보유 지역 반환;;;;;;;;;;;;;
return_cores_TMR_desc;우리나라가 소유한 티모르의 영유권 보유 지역을 선의로서 반환한다면 이들과의 관계가 진전할 것입니다.;;;;;;;;;;;;;
